Scanning dir NodeGoat/
Scanning /home/caffeine/Documents/Code/vulnerable-app/NodeGoat/ at commit b2aed3819e59a27f9ce5fa3cdefd07f93512e7c8
Scanned /home/caffeine/Documents/Code/vulnerable-app/NodeGoat/package-lock.json file and found 1091 packages
+-------------------------------------+-----------+----------------------+---------+----------------------------+
| OSV URL (ID IN BOLD)                | ECOSYSTEM | PACKAGE              | VERSION | SOURCE                     |
| https://osv.dev/GHSA-qqgx-2p2h-9c37 | npm       | ini                  | 1.3.4   | NodeGoat/package-lock.json |
| https://osv.dev/GHSA-qqgx-2p2h-9c37 | npm       | ini                  | 1.3.5   | NodeGoat/package-lock.json |
| https://osv.dev/GHSA-4hpf-3wq7-5rpr | npm       | is-my-json-valid     | 2.15.0  | NodeGoat/package-lock.json |
| https://osv.dev/GHSA-f522-ffg8-j8r6 | npm       | is-my-json-valid     | 2.15.0  | NodeGoat/package-lock.json |
| https://osv.dev/GHSA-2pr6-76vf-7546 | npm       | js-yaml              | 3.5.5   | NodeGoat/package-lock.json |
| https://osv.dev/GHSA-8j8c-7jfh-h6hx | npm       | js-yaml              | 3.5.5   | NodeGoat/package-lock.json |
| https://osv.dev/GHSA-2pr6-76vf-7546 | npm       | js-yaml              | 3.6.1   | NodeGoat/package-lock.json |
| https://osv.dev/GHSA-8j8c-7jfh-h6hx | npm       | js-yaml              | 3.6.1   | NodeGoat/package-lock.json |
| https://osv.dev/GHSA-896r-f27r-55mw | npm       | json-schema          | 0.2.3   | NodeGoat/package-lock.json |
| https://osv.dev/GHSA-282f-qqgm-c34q | npm       | jsonpointer          | 4.0.0   | NodeGoat/package-lock.json |
| https://osv.dev/GHSA-282f-qqgm-c34q | npm       | jsonpointer          | 4.0.1   | NodeGoat/package-lock.json |
| https://osv.dev/GHSA-6c8f-qphg-qjgp | npm       | kind-of              | 6.0.2   | NodeGoat/package-lock.json |
| https://osv.dev/GHSA-jf85-cpcp-j695 | npm       | lodash               | 2.4.2   | NodeGoat/package-lock.json |
| https://osv.dev/GHSA-fvqr-27wr-82fm | npm       | lodash               | 2.4.2   | NodeGoat/package-lock.json |
| https://osv.dev/GHSA-4xc9-xhrj-v574 | npm       | lodash               | 2.4.2   | NodeGoat/package-lock.json |
| https://osv.dev/GHSA-x5rq-j2xg-h7qm | npm       | lodash               | 2.4.2   | NodeGoat/package-lock.json |
| https://osv.dev/GHSA-p6mc-m468-83gw | npm       | lodash               | 2.4.2   | NodeGoat/package-lock.json |
| https://osv.dev/GHSA-29mw-wpgm-hmr9 | npm       | lodash               | 2.4.2   | NodeGoat/package-lock.json |
| https://osv.dev/GHSA-35jh-r3h4-6jhm | npm       | lodash               | 2.4.2   | NodeGoat/package-lock.json |
| https://osv.dev/GHSA-fvqr-27wr-82fm | npm       | lodash               | 4.13.1  | NodeGoat/package-lock.json |
| https://osv.dev/GHSA-4xc9-xhrj-v574 | npm       | lodash               | 4.13.1  | NodeGoat/package-lock.json |
| https://osv.dev/GHSA-x5rq-j2xg-h7qm | npm       | lodash               | 4.13.1  | NodeGoat/package-lock.json |
| https://osv.dev/GHSA-jf85-cpcp-j695 | npm       | lodash               | 4.13.1  | NodeGoat/package-lock.json |
| https://osv.dev/GHSA-p6mc-m468-83gw | npm       | lodash               | 4.13.1  | NodeGoat/package-lock.json |
| https://osv.dev/GHSA-29mw-wpgm-hmr9 | npm       | lodash               | 4.13.1  | NodeGoat/package-lock.json |
| https://osv.dev/GHSA-35jh-r3h4-6jhm | npm       | lodash               | 4.13.1  | NodeGoat/package-lock.json |
| https://osv.dev/GHSA-jf85-cpcp-j695 | npm       | lodash               | 4.17.11 | NodeGoat/package-lock.json |
| https://osv.dev/GHSA-p6mc-m468-83gw | npm       | lodash               | 4.17.11 | NodeGoat/package-lock.json |
| https://osv.dev/GHSA-29mw-wpgm-hmr9 | npm       | lodash               | 4.17.11 | NodeGoat/package-lock.json |
| https://osv.dev/GHSA-35jh-r3h4-6jhm | npm       | lodash               | 4.17.11 | NodeGoat/package-lock.json |
| https://osv.dev/GHSA-29mw-wpgm-hmr9 | npm       | lodash               | 4.17.20 | NodeGoat/package-lock.json |
| https://osv.dev/GHSA-35jh-r3h4-6jhm | npm       | lodash               | 4.17.20 | NodeGoat/package-lock.json |
| https://osv.dev/GHSA-vfvf-mqq8-rwqc | npm       | marked               | 0.3.5   | NodeGoat/package-lock.json |
| https://osv.dev/GHSA-7px7-7xjx-hxm8 | npm       | marked               | 0.3.5   | NodeGoat/package-lock.json |
| https://osv.dev/GHSA-x5pg-88wf-qq4p | npm       | marked               | 0.3.5   | NodeGoat/package-lock.json |
| https://osv.dev/GHSA-5v2h-r2cx-5xgj | npm       | marked               | 0.3.5   | NodeGoat/package-lock.json |
| https://osv.dev/GHSA-rrrm-qjm4-v8hf | npm       | marked               | 0.3.5   | NodeGoat/package-lock.json |
| https://osv.dev/GHSA-wrvr-8mpx-r7pp | npm       | mime                 | 1.2.11  | NodeGoat/package-lock.json |
| https://osv.dev/GHSA-hxm2-r34f-qmc5 | npm       | minimatch            | 0.3.0   | NodeGoat/package-lock.json |
| https://osv.dev/GHSA-f8q6-p94x-37v3 | npm       | minimatch            | 0.3.0   | NodeGoat/package-lock.json |
| https://osv.dev/GHSA-f8q6-p94x-37v3 | npm       | minimatch            | 3.0.2   | NodeGoat/package-lock.json |
| https://osv.dev/GHSA-f8q6-p94x-37v3 | npm       | minimatch            | 3.0.3   | NodeGoat/package-lock.json |
| https://osv.dev/GHSA-f8q6-p94x-37v3 | npm       | minimatch            | 3.0.4   | NodeGoat/package-lock.json |
| https://osv.dev/GHSA-vh95-rmgr-6w4m | npm       | minimist             | 0.0.10  | NodeGoat/package-lock.json |
| https://osv.dev/GHSA-xvch-5gv4-984h | npm       | minimist             | 0.0.10  | NodeGoat/package-lock.json |
| https://osv.dev/GHSA-vh95-rmgr-6w4m | npm       | minimist             | 0.0.8   | NodeGoat/package-lock.json |
| https://osv.dev/GHSA-xvch-5gv4-984h | npm       | minimist             | 0.0.8   | NodeGoat/package-lock.json |
| https://osv.dev/GHSA-vh95-rmgr-6w4m | npm       | minimist             | 1.2.0   | NodeGoat/package-lock.json |
| https://osv.dev/GHSA-xvch-5gv4-984h | npm       | minimist             | 1.2.0   | NodeGoat/package-lock.json |
| https://osv.dev/GHSA-xvch-5gv4-984h | npm       | minimist             | 1.2.5   | NodeGoat/package-lock.json |
